Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1001,999,management,married,tertiary,0,2143,1,0,unk0wn,5,may,261,1,-1,0,unk0wn,0
1002,44,technician,single,secondary,0,29,1,0,unk0wn,5,may,151,1,-1,0,unk0wn,0
1003,33,entrepreneur,married,secondary,0,2,1,1,unk0wn,5,may,76,1,-1,0,unk0wn,0
1004,47,blue-collar,married,unk0wn,0,1506,1,0,unk0wn,5,may,92,1,-1,0,unk0wn,0
1005,33,unk0wn,single,unk0wn,0,1,0,0,unk0wn,5,may,198,1,-1,0,unk0wn,0
1006,35,management,married,tertiary,0,231,1,0,unk0wn,5,may,139,1,-1,0,unk0wn,0
1007,28,management,single,tertiary,0,447,1,1,unk0wn,5,may,217,1,-1,0,unk0wn,0
1008,,entrepreneur,divorced,tertiary,1,,1,0,unk0wn,5,may,380,1,-1,0,unk0wn,0
1009,58,retired,married,primary,0,,1,0,unk0wn,5,may,50,1,-1,0,unk0wn,0
1010,43,technician,single,secondary,0,,1,0,unk0wn,5,may,55,1,-1,0,unk0wn,0
1011,41,admin.,divorced,secondary,0,270,1,0,unk0wn,5,may,222,1,-1,0,unk0wn,0
1012,29,admin.,single,secondary,0,390,1,0,unk0wn,5,may,137,1,-1,0,unk0wn,0
1013,53,technician,married,secondary,0,6,1,0,unk0wn,5,may,517,1,-1,0,unk0wn,0
1014,58,technician,married,unk0wn,0,71,1,0,unk0wn,5,may,71,1,-1,0,unk0wn,0
1015,57,services,married,secondary,0,162,1,0,unk0wn,5,may,174,1,-1,0,unk0wn,0
1016,51,retired,married,primary,0,229,1,0,unk0wn,5,may,353,1,-1,0,unk0wn,0
1017,45,admin.,single,unk0wn,0,13,1,0,unk0wn,5,may,98,1,-1,0,unk0wn,0
1018,57,blue-collar,married,primary,0,52,1,0,unk0wn,5,may,38,1,-1,0,unk0wn,0
1019,60,retired,married,primary,0,60,1,0,unk0wn,5,may,219,1,-1,0,unk0wn,0
1020,33,services,married,secondary,0,0,1,0,unk0wn,5,may,54,1,-1,0,unk0wn,0
1021,28,blue-collar,married,secondary,0,723,1,1,unk0wn,5,may,262,1,-1,0,unk0wn,0
1022,56,management,married,tertiary,0,779,1,0,unk0wn,5,may,164,1,-1,0,unk0wn,0
1023,32,blue-collar,single,primary,0,23,1,1,unk0wn,5,may,160,1,-1,0,unk0wn,0
1024,25,services,married,secondary,0,50,1,0,unk0wn,5,may,342,1,-1,0,unk0wn,0
1025,40,retired,married,primary,0,0,1,1,unk0wn,5,may,181,1,-1,0,unk0wn,0
1026,44,admin.,married,secondary,0,-372,1,0,unk0wn,5,may,172,1,-1,0,unk0wn,0
1027,39,management,single,tertiary,0,255,1,0,unk0wn,5,may,296,1,-1,0,unk0wn,0
1028,52,entrepreneur,married,secondary,0,113,1,1,unk0wn,5,may,127,1,-1,0,unk0wn,0
1029,46,management,single,secondary,0,-246,1,0,unk0wn,5,may,255,2,-1,0,unk0wn,0
1030,36,technician,single,secondary,0,265,1,1,unk0wn,5,may,348,1,-1,0,unk0wn,0
1031,57,technician,married,secondary,0,839,0,1,unk0wn,5,may,225,1,-1,0,unk0wn,0
1032,49,management,married,tertiary,0,378,1,0,unk0wn,5,may,230,1,-1,0,unk0wn,0
1033,60,admin.,married,secondary,0,39,1,1,unk0wn,5,may,208,1,-1,0,unk0wn,0
1034,59,blue-collar,married,secondary,0,0,1,0,unk0wn,5,may,226,1,-1,0,unk0wn,0
1035,51,management,married,tertiary,0,10635,1,0,unk0wn,5,may,336,1,-1,0,unk0wn,0
1036,57,technician,divorced,secondary,0,63,1,0,unk0wn,5,may,242,1,-1,0,unk0wn,0
1037,25,blue-collar,married,secondary,0,-7,1,0,unk0wn,5,may,365,1,-1,0,unk0wn,0
1038,53,technician,married,secondary,0,-3,0,0,unk0wn,5,may,1666,1,-1,0,unk0wn,0
1039,36,admin.,divorced,secondary,0,506,1,0,unk0wn,5,may,577,1,-1,0,unk0wn,0
1040,37,admin.,single,secondary,0,0,1,0,unk0wn,5,may,137,1,-1,0,unk0wn,0
1041,44,services,divorced,secondary,0,2586,1,0,unk0wn,5,may,160,1,-1,0,unk0wn,0
1042,50,management,married,secondary,0,49,1,0,unk0wn,5,may,180,2,-1,0,unk0wn,0
1043,60,blue-collar,married,unk0wn,0,104,1,0,unk0wn,5,may,22,1,-1,0,unk0wn,0
1044,54,retired,married,secondary,0,529,1,0,unk0wn,5,may,1492,1,-1,0,unk0wn,0
1045,58,retired,married,unk0wn,0,96,1,0,unk0wn,5,may,616,1,-1,0,unk0wn,0
1046,36,admin.,single,primary,0,-171,1,0,unk0wn,5,may,242,1,-1,0,unk0wn,0
1047,58,self-employed,married,tertiary,0,-364,1,0,unk0wn,5,may,355,1,-1,0,unk0wn,0
1048,44,technician,married,secondary,0,0,1,0,unk0wn,5,may,225,2,-1,0,unk0wn,0
1049,55,technician,divorced,secondary,0,0,0,0,unk0wn,5,may,160,1,-1,0,unk0wn,0
1050,29,management,single,tertiary,0,0,1,0,unk0wn,5,may,363,1,-1,0,unk0wn,0
1051,54,blue-collar,married,secondary,0,1291,1,0,unk0wn,5,may,266,1,-1,0,unk0wn,0
1052,48,management,divorced,tertiary,0,-244,1,0,unk0wn,5,may,253,1,-1,0,unk0wn,0
1053,32,management,married,tertiary,0,0,1,0,unk0wn,5,may,179,1,-1,0,unk0wn,0
1054,,admin.,single,secondary,0,-76,1,0,unk0wn,5,may,787,1,-1,0,unk0wn,0
1055,,technician,single,secondary,0,-103,1,1,unk0wn,5,may,145,1,-1,0,unk0wn,0
1056,,entrepreneur,single,tertiary,0,243,0,1,unk0wn,5,may,174,1,-1,0,unk0wn,0
1057,,management,single,tertiary,0,424,1,0,unk0wn,5,may,104,1,-1,0,unk0wn,0
1058,,blue-collar,married,unk0wn,0,306,1,0,unk0wn,5,may,13,1,-1,0,unk0wn,0
1059,,blue-collar,single,unk0wn,0,24,1,0,unk0wn,5,may,185,1,-1,0,unk0wn,0
1060,,services,married,primary,0,179,1,0,unk0wn,5,may,1778,1,-1,0,unk0wn,0
1061,,admin.,married,tertiary,0,0,1,0,unk0wn,5,may,138,1,-1,0,unk0wn,0
1062,53,technician,divorced,secondary,0,989,1,0,unk0wn,5,may,812,1,-1,0,unk0wn,0
1063,57,blue-collar,married,primary,0,249,1,0,unk0wn,5,may,164,1,-1,0,unk0wn,0
1064,33,services,married,secondary,0,790,1,0,unk0wn,5,may,391,1,-1,0,unk0wn,0
1065,49,blue-collar,married,unk0wn,0,154,1,0,unk0wn,5,may,357,1,-1,0,unk0wn,0
1066,51,management,married,tertiary,0,6530,1,0,unk0wn,5,may,91,1,-1,0,unk0wn,0
1067,60,retired,married,tertiary,0,100,0,0,unk0wn,5,may,528,1,-1,0,unk0wn,0
1068,59,management,divorced,tertiary,0,59,1,0,unk0wn,5,may,273,1,-1,0,unk0wn,0
1069,55,technician,married,secondary,0,1205,1,0,unk0wn,5,may,158,2,-1,0,unk0wn,0
1070,35,blue-collar,single,secondary,0,12223,1,1,unk0wn,5,may,177,1,-1,0,unk0wn,0
1071,57,blue-collar,married,secondary,0,5935,1,1,unk0wn,5,may,258,1,-1,0,unk0wn,0
1072,31,services,married,secondary,0,25,1,1,unk0wn,5,may,172,1,-1,0,unk0wn,0
1073,54,management,married,secondary,0,282,1,1,unk0wn,5,may,154,1,-1,0,unk0wn,0
1074,55,blue-collar,married,primary,0,23,1,0,unk0wn,5,may,291,1,-1,0,unk0wn,0
1075,43,technician,married,secondary,0,1937,1,0,unk0wn,5,may,181,1,-1,0,unk0wn,0
1076,53,technician,married,secondary,0,384,1,0,unk0wn,5,may,176,1,-1,0,unk0wn,0
1077,44,blue-collar,married,secondary,0,582,0,1,unk0wn,5,may,211,1,-1,0,unk0wn,0
1078,55,services,divorced,secondary,0,91,0,0,unk0wn,5,may,349,1,-1,0,unk0wn,0
1079,49,services,divorced,secondary,0,0,1,1,unk0wn,5,may,272,1,-1,0,unk0wn,0
1080,55,services,divorced,secondary,1,1,1,0,unk0wn,5,may,208,1,-1,0,unk0wn,0
1081,45,admin.,single,secondary,0,206,1,0,unk0wn,5,may,193,1,-1,0,unk0wn,0
1082,47,services,divorced,secondary,0,164,0,0,unk0wn,5,may,212,1,-1,0,unk0wn,0
1083,42,technician,single,secondary,0,690,1,0,unk0wn,5,may,20,1,-1,0,unk0wn,0
1084,59,admin.,married,secondary,0,2343,1,0,unk0wn,5,may,1042,1,-1,0,unk0wn,1
